path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/DSC04435(1).JPG,2000,1333,landscape,149.74,8.82,0.007,0.046,139.51,148.67,161.03,1208466,02192d0920026875a0897d61268c7df16ef7a4a6
/Volumes/未命名/大模型/原图1/DSC04253(2).JPG,2000,1333,landscape,177.19,11.11,0.032,3.348,161.69,182.69,187.18,2533469,456ac44df41cb8abdf01bd58c6ee12499797f782
/Volumes/未命名/大模型/原图1/DSC04119(1).JPG,2000,1333,landscape,146.11,9.15,0.002,0.021,136.17,143.89,158.26,1017429,2ff530bcaa0819a58ebf69042cbe83e333eb6649
/Volumes/未命名/大模型/原图1/DAP00346 3.JPG,2000,1333,landscape,52.8,5.35,3.863,0.0,59.14,53.23,46.04,818043,5f2c6ec10e682cf559d0a00cf085ea12254dce52
/Volumes/未命名/大模型/原图1/DSC04453.JPG,2000,1333,landscape,93.77,6.79,0.508,1.562,85.78,93.15,102.38,1017567,7f8538cd6db7c6d28e496f8afffa0bc6e2c6aa0b
/Volumes/未命名/大模型/原图1/AAA00764.JPG,2666,4000,portrait,149.36,11.73,0.005,0.002,144.23,138.26,165.58,2355882,a47b034b8809e6d128696d7b7c7611c3914e7514
/Volumes/未命名/大模型/原图1/DAP07097 2.JPG,2000,1333,landscape,106.25,10.03,0.662,0.0,116.12,110.15,92.49,1184760,9b108effc0c68c706bbdb25dacb7ab7058fc0157
/Volumes/未命名/大模型/原图1/AAA02970.JPG,4000,2666,landscape,104.63,7.44,0.002,0.0,103.02,96.43,114.44,4724107,cc659b29335b93859a96a79a8bc2350940d00b27
/Volumes/未命名/大模型/原图1/DAP02410 2.JPG,1333,2000,portrait,74.17,22.35,10.395,0.324,104.65,66.23,51.65,918641,733c2eca351edec7938311a703ce98eec85dd469
/Volumes/未命名/大模型/原图1/DAP03204(1).JPG,2000,1333,landscape,128.81,28.16,0.0,0.005,90.96,137.03,158.46,1291540,b056cfbf01acae59accee4f652cb4666e46a866a
/Volumes/未命名/大模型/原图1/DSC04989(1).JPG,2000,1333,landscape,171.58,10.84,0.002,17.024,158.06,172.08,184.6,1079654,0d4dcc4bc93a8152089ce31a3d6881e3f04961d4
/Volumes/未命名/大模型/原图1/DAP09758 3.JPG,2000,1333,landscape,62.27,18.4,0.0,0.0,88.13,51.89,46.79,787094,41bfe7fcc7d69203bac410c702e73a3dfee13de5
/Volumes/未命名/大模型/原图1/DSC02197(1).JPG,2000,1333,landscape,135.85,6.05,0.06,7.971,144.38,130.97,132.19,2599467,503de02c789ba872d699943fcb5670cf679b3fd9
/Volumes/未命名/大模型/原图1/DAP03013.JPG,2000,1333,landscape,113.82,42.66,0.124,0.037,173.91,79.05,88.5,1445080,e895eda95b753de7a36a3073cee725ca4b873dcd
